cocktailsort number time;0,48300000;-256329571;2002600155;15300;
cocktailsort number time;0,60100000;-136970596;2061606042;15450;
cocktailsort number time;0,51100000;-15282796;2121647240;15600;
cocktailsort number time;0,58300000;108756329;-2112085233;15750;
cocktailsort number time;0,58500000;235169279;-2049520530;15900;
cocktailsort number time;0,62900000;363978554;-1985713943;16050;
cocktailsort number time;0,60400000;495206654;-1920808834;16200;
cocktailsort number time;0,57600000;628876079;-1854538799;16350;
cocktailsort number time;0,59100000;765009329;-1787128437;16500;
cocktailsort number time;0,59100000;903628904;-1718533268;16650;
cocktailsort number time;0,60600000;1044757304;-1648771835;16800;
cocktailsort number time;0,67900000;1188417029;-1577701743;16950;
cocktailsort number time;0,62200000;1334630579;-1505320640;17100;
cocktailsort number time;0,66600000;1483420454;-1431727830;17250;
cocktailsort number time;0,68900000;1634809154;-1356837239;17400;
cocktailsort number time;0,64700000;1788819179;-1280694656;17550;
cocktailsort number time;0,64900000;1945473029;-1203134639;17700;
cocktailsort number time;0,73100000;2104793204;-1124225592;17850;
cocktailsort number time;0,82200000;-2028165092;-1043965892;18000;
cocktailsort number time;0,69300000;-1863444767;-962433742;18150;
cocktailsort number time;0,77100000;-1695990617;-879560121;18300;
cocktailsort number time;0,77300000;-1525780142;-795370920;18450;
cocktailsort number time;0,78700000;-1352790842;-709769074;18600;
cocktailsort number time;0,83800000;-1177000217;-622870513;18750;
cocktailsort number time;0,89600000;-998385767;-534605651;18900;
cocktailsort number time;0,73500000;-816924992;-444819645;19050;
cocktailsort number time;0,82300000;-632595392;-353692271;19200;
cocktailsort number time;0,84000000;-445374467;-261117477;19350;
cocktailsort number time;0,91300000;-255239717;-167020655;19500;
cock
